Estado,Data_Ini_Mov,Hora_Ini_Mov,Data_Fim_Mov,Hora_Fim_Mov,Tempo,Dist_Perc_(m),Vel_Máx,Ponto_Inicial,Ponto_Final,Motorista,Placa
Parado Desligado,06/06/2020,00:06:50,06/06/2020,06:28:33,6h-21m-43s,0,0 km/h,"Ijuí RS","Ijuí RS",-,IXS-7092
Parado Ligado,06/06/2020,06:28:33,06/06/2020,06:31:38,3m-5s,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Desligado,06/06/2020,06:31:38,06/06/2020,06:57:06,25m-28s,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,06:57:06,06/06/2020,07:06:01,8m-55s,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,07:06:01,06/06/2020,07:12:01,6min,3936,59 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,07:12:01,06/06/2020,07:14:01,2min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,07:14:01,06/06/2020,07:20:36,6m-35s,4025,71 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,07:20:36,06/06/2020,07:21:36,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,07:21:36,06/06/2020,07:22:36,1min,532,60 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,07:22:36,06/06/2020,07:23:36,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,07:23:36,06/06/2020,07:28:05,4m-29s,1388,55 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,07:28:05,06/06/2020,07:30:05,2min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,07:30:05,06/06/2020,07:48:04,17m-59s,15007,82 km/h,"Ijuí, RS,","Ajuricaba, RS",-,IXS-7092
Parado Ligado,06/06/2020,07:48:04,06/06/2020,07:49:05,1m-1s,0,0 km/h,"Ajuricaba, RS","Ajuricaba, RS",-,IXS-7092
Andando,06/06/2020,07:49:05,06/06/2020,07:56:53,7m-48s,2252,36 km/h,"Ajuricaba, RS","Ajuricaba, RS",-,IXS-7092
Parado Ligado,06/06/2020,07:56:53,06/06/2020,07:57:53,1min,0,0 km/h,"Ajuricaba, RS","Ajuricaba, RS",-,IXS-7092
Andando,06/06/2020,07:57:53,06/06/2020,08:27:12,29m-19s,18134,88 km/h,"Ajuricaba, RS","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,08:27:12,06/06/2020,08:29:27,2m-15s,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,08:29:27,06/06/2020,08:30:28,1m-1s,324,29 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,08:30:28,06/06/2020,08:31:28,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,08:31:28,06/06/2020,08:37:54,6m-26s,4371,76 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,08:37:54,06/06/2020,08:40:12,2m-18s,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,08:40:12,06/06/2020,08:42:38,2m-26s,416,13 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,08:42:38,06/06/2020,08:44:38,2min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,08:44:38,06/06/2020,08:45:38,1min,483,59 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,08:45:38,06/06/2020,08:47:38,2min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,08:47:38,06/06/2020,08:52:38,5min,3477,66 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,08:52:38,06/06/2020,08:53:38,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,08:53:38,06/06/2020,08:55:38,2min,164,14 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,08:55:38,06/06/2020,08:57:38,2min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,08:57:38,06/06/2020,09:01:39,4m-1s,698,24 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,09:01:39,06/06/2020,09:02:39,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,09:02:39,06/06/2020,09:04:39,2min,624,7 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,09:04:39,06/06/2020,09:05:39,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,09:05:39,06/06/2020,09:08:39,3min,493,13 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,09:08:39,06/06/2020,09:10:39,2min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,09:10:39,06/06/2020,09:11:39,1min,74,13 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,09:11:39,06/06/2020,09:12:39,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
